no	code	name	lambda	alpha	delta	da	dd	vel	a	q	e	peri	node	i
515	OLE	ο Leonids	296.00	144.00	7.00	0.67	-0.27	41.50	1.80	0.08	0.97	151.00	116.00	23.00
516	FMV	February μ Virginids	327.00	223.00	2.20	0.80	-0.40	66.90	16.00	0.77	0.93	237.00	327.00	146.00
517	ALO	April λ Ophiuchids	15.50	244.60	1.10	0.00	0.00	55.70	14.00	0.29	0.98	296.00	15.50	110.60
518	AHE	April 102 Herculids	33.80	273.30	18.50	0.00	0.00	53.60	10.00	0.78	0.92	238.00	33.80	98.30
519	BAQ	β Aquariids	46.30	323.00	-0.40	0.00	0.00	68.40	11.00	0.94	0.91	149.00	46.00	156.20
519	BAQ	β Aquariids	46.00	322.60	-0.90	0.92	0.32	69.00	6.89	0.94	0.95	150.10	46.10	156.60
520	MBC	May β Capricornids	56.80	303.00	-15.60	0.74	0.17	65.70	5.40	0.55	0.94	266.00	57.00	171.00
520	MBC	May β Capricornids	58.00	304.00	-15.60	1.01	0.23	65.80	9.39	0.55	0.96	265.50	58.70	170.90
521	JRP	June ρ Cygnids	84.10	322.10	44.00	0.21	0.59	50.30	15.00	1.01	0.93	190.00	84.10	90.00
522	SAP	Southern α Pegasids	112.00	351.00	11.70	0.00	0.00	63.90	16.00	0.56	0.96	265.00	112.00	148.80
523	AGC	August γ Cepheids	155.10	358.00	76.40	0.00	0.00	44.00	9.00	1.00	0.89	188.00	155.00	76.00
523	AGC	August γ Cepheids	156.00	354.20	76.60	0.76	0.40	43.90	11.42	1.00	0.91	188.10	156.10	75.60
524	LUM	λ Ursae Majorids	215.00	158.20	49.40	0.00	0.00	60.30	13.00	0.92	0.93	147.00	215.00	115.00
524	LUM	λ Ursae Majorids	214.00	157.80	50.20	1.09	-0.37	60.90	3.10	0.92	1.01	148.50	213.50	114.50
525	ICY	ι Cygnids	218.40	299.00	53.00	0.00	0.00	16.40	2.70	0.98	0.63	190.00	218.00	24.00
526	SLD	Southern λ Draconids	221.60	163.00	68.10	0.00	0.00	48.70	4.00	0.99	0.74	189.00	221.60	88.00
526	SLD	Southern λ Draconids	221.00	162.00	68.20	1.21	-0.38	49.10	4.47	0.99	0.78	188.50	221.10	89.00
527	UUM	υ Ursae Majorids	240.40	148.00	59.40	0.00	0.00	55.10	18.00	0.82	0.95	229.00	240.40	99.90
528	JZD	January ζ Draconids	283.90	251.00	64.00	0.00	0.00	28.10	2.60	0.98	0.62	181.00	284.00	46.60
529	EHY	η Hydrids	256.90	132.90	2.30	0.79	-0.16	62.50	15.00	0.38	0.97	103.80	76.90	142.80
529	EHY	η Hydrids	258.20	134.10	2.40	0.00	0.00	61.72	7.39	0.36	0.95	107.40	78.20	143.00
529	EHY	η Hydrids	257.00	132.30	2.50	0.93	-0.27	62.40	9.98	0.36	0.98	106.10	78.40	142.20
530	ECV	η Corvids	304.90	193.90	-18.60	0.00	0.00	67.39	4.22	0.79	0.81	56.00	124.90	157.90
530	ECV	η Corvids	302.00	192.00	-18.10	0.95	-0.39	68.10	5.29	0.82	0.85	50.10	122.20	50.10
531	GAQ	γ Aquilids	45.00	301.80	13.80	0.66	0.25	62.70	22.98	0.99	0.96	196.20	44.50	123.40
531	GAQ	γ Aquilids	49.80	305.80	14.10	0.00	0.00	60.78	4.47	0.98	0.78	201.20	49.80	123.30
531	GAQ	γ Aquilids	58.00	314.00	16.80	0.83	0.28	62.50	7.29	1.00	0.91	193.60	58.30	124.00
532	MLD	May λ Draconids	52.00	155.00	73.00	-1.87	-0.08	14.40	2.83	0.99	0.65	165.00	52.00	18.70
533	JXA	July ξ Arietids	119.00	40.10	10.60	0.66	0.25	69.40	25.23	0.88	0.97	318.00	299.00	171.60
533	JXA	July ξ Arietids	112.60	35.00	9.20	0.00	0.00	68.85	14.15	0.86	0.94	313.80	292.60	171.80
533	JXA	July ξ Arietids	119.00	41.50	10.70	0.97	0.30	68.90	10.65	0.86	0.95	312.40	292.70	170.40
534	FOA	51 Andromedids	136.00	23.30	47.30	0.90	0.27	60.80	8.04	1.00	0.88	195.00	136.00	120.70
535	THC	thη Cetids	137.00	23.00	-10.20	0.82	0.37	61.80	16.10	0.50	0.97	92.00	317.00	138.00
536	FSO	47 Ophiuchids	320.00	259.00	-4.10	0.80	0.00	63.30	24.10	0.51	0.98	90.90	320.00	137.60
537	KAU	κ Aurigids	208.00	93.10	33.20	1.03	-0.19	65.50	12.93	0.54	0.96	266.00	208.00	159.00
537	KAU	κ Aurigids	207.40	90.70	32.00	0.00	0.00	64.98	13.80	0.48	0.97	272.90	207.40	160.40
538	FFA	55 Arietids	214.00	48.60	30.80	0.98	0.22	36.90	3.67	0.21	0.94	308.50	214.00	24.00
538	FFA	55 Arietids	215.10	50.90	30.20	0.00	0.00	38.12	4.35	0.19	0.96	311.30	215.10	24.10
539	ACP	α Cepheids	281.00	318.00	64.00	-0.45	-0.32	15.90	2.68	0.98	0.64	182.00	281.00	22.90
540	TCR	thη Craterids	283.00	175.90	-7.40	0.70	-0.28	70.20	28.31	0.82	0.97	48.00	103.00	164.50
541	SSD	66 Draconids	255.20	302.00	62.00	-0.54	-0.30	18.20	2.86	0.98	0.66	184.80	255.20	27.20
542	DES	δ Sextantids	263.30	158.00	-1.90	0.72	-0.29	69.40	10.44	0.84	0.92	46.70	83.30	161.00
543	TTB	22 Bootids	284.10	212.50	17.10	0.75	-0.21	65.00	11.90	0.93	0.92	152.30	284.10	130.30
544	JNH	January ν Hydrids	289.60	161.00	-11.70	0.69	-0.36	62.00	17.37	0.42	0.98	99.60	109.60	135.10
545	XCS	ξ Cassiopeiids	154.30	7.10	49.90	0.73	0.51	52.70	72.70	0.73	0.99	244.20	154.30	94.90
545	XCS	ξ Cassiopeiids	156.40	8.60	49.40	0.00	0.00	51.36	8.77	0.66	0.93	250.70	156.40	93.60
546	FTC	43 Cassiopeiids	144.10	30.20	67.40	0.00	0.00	52.20	7.64	1.01	0.87	173.00	144.10	95.40
547	KAP	κ Perseids	137.60	43.90	45.60	0.00	0.00	63.53	6.59	0.98	0.85	157.00	137.60	132.00
548	FAQ	15 Aquariids	113.00	318.20	-2.10	0.84	0.23	37.70	1.97	0.14	0.93	322.20	112.70	34.80
549	FAN	49 Andromedids	114.00	20.90	46.70	0.90	0.32	60.10	12.24	0.92	0.93	143.10	114.00	118.20
549	FAN	49 Andromedids	112.00	20.50	46.60	1.07	0.37	60.20	7.71	0.90	0.92	139.80	118.00	117.90
550	KPC	κ Cassiopeiids	119.00	10.50	64.20	0.64	0.40	50.20	10.54	0.97	0.91	155.00	119.00	90.00
551	FSA	47 Andromedids	139.00	22.40	38.60	0.95	0.20	63.70	12.82	0.91	0.93	217.90	138.60	132.00
552	PSO	π6 Orionids	166.30	76.30	-1.30	0.64	0.09	66.50	17.91	1.00	0.94	5.10	346.30	139.00
552	PSO	π6 Orionids	159.00	70.50	-2.30	0.90	0.13	65.80	7.53	1.00	0.89	17.20	342.40	138.30
553	DPE	δ Perseids	168.00	58.50	46.70	0.89	0.18	64.50	11.67	0.91	0.92	216.60	168.40	134.00
554	APE	α Perseids	171.00	50.30	49.30	0.96	0.33	61.40	13.49	0.80	0.94	235.20	171.20	123.90
555	OCP	October γ Camelopardalids	191.00	63.20	72.90	2.62	0.15	50.80	17.25	0.90	0.95	217.80	191.30	89.70
555	OCP	October γ Camelopardalids	189.00	48.80	67.40	1.65	0.26	50.90	7.74	0.80	0.94	234.40	188.70	89.50
556	PTA	φ Taurids	193.00	63.90	29.10	1.15	0.20	60.20	8.67	0.23	0.97	303.70	193.10	156.30
557	SFD	64 Draconids	216.00	302.90	65.60	-0.50	-0.10	26.40	24.92	0.97	0.96	196.60	216.40	38.40
558	TSM	27 Monocerotids	221.00	117.90	-6.10	0.79	-0.04	64.20	5.81	0.92	0.84	32.90	41.30	132.80
558	TSM	27 Monocerotids	227.00	121.80	-5.80	0.88	-0.21	64.60	6.27	0.90	0.86	37.40	46.60	134.40
559	MCB	β Canis Majorids	237.00	94.40	-21.50	0.78	0.14	44.20	8.83	0.62	0.93	77.20	56.80	71.50
560	SES	17 Sextantids	262.00	150.80	-6.90	0.71	-0.22	67.10	11.01	0.78	0.93	54.90	82.00	146.80
561	SSX	6 Sextantids	262.00	146.50	-1.90	0.82	-0.18	66.40	18.15	0.62	0.97	76.10	82.40	150.20
562	BCT	13 Comae Berenicids	265.00	186.10	26.20	0.69	-0.39	65.90	7.61	0.98	0.87	183.80	265.40	134.60
563	DOU	December ω Ursae Majorids	269.00	159.50	43.00	1.11	-0.40	56.70	17.80	0.53	0.97	265.90	269.00	106.90
563	DOU	December ω Ursae Majorids	269.00	159.10	43.30	1.05	-0.37	56.10	9.49	0.53	0.96	264.80	268.00	106.00
564	SUM	61 Ursae Majorids	275.00	180.40	35.60	0.85	-0.35	61.00	11.89	0.78	0.93	234.40	275.20	118.70
565	FUM	59 Ursae Majorids	278.00	174.20	43.90	0.88	-0.43	55.10	14.40	0.65	0.96	252.50	277.80	100.70
566	BCF	5 Comae Berenicids	278.00	184.00	20.40	0.66	-0.27	67.40	12.69	0.86	0.93	221.50	278.10	143.40
567	XHY	ξ Hydrids	284.00	171.60	-28.00	1.02	-0.21	64.60	9.60	0.93	0.90	27.30	104.00	129.40
567	XHY	ξ Hydrids	284.00	172.20	-28.90	0.89	-0.39	64.70	15.13	0.94	0.95	24.70	104.40	129.10
568	FCV	14 Canum Venaticids	309.00	200.90	29.40	0.94	-0.53	56.20	10.63	0.63	0.94	255.50	308.90	104.70
569	OHY	ο Hydrids	309.00	176.30	-34.10	0.80	-0.38	59.10	9.91	0.68	0.93	68.60	128.90	114.30
569	OHY	ο Hydrids	312.00	179.20	-34.90	0.92	-0.40	58.20	6.20	0.67	0.89	70.90	133.30	114.00
570	FBH	February β Herculids	313.00	247.90	24.60	0.81	-0.10	54.90	12.91	0.90	0.93	146.00	313.10	99.10
570	FBH	February β Herculids	314.00	249.40	24.30	0.75	-0.14	55.30	8.44	0.90	0.93	145.30	314.20	98.80
571	TSB	26 Bootids	344.00	217.60	24.00	0.60	-0.05	49.70	15.56	0.50	0.97	270.70	343.50	83.90
572	TOH	21 Herculids	350.00	246.20	7.60	0.27	0.14	63.70	22.89	0.85	0.96	225.50	349.90	127.20
573	TLM	32 Leonis Minorids	245.00	159.10	39.10	0.84	-0.35	64.40	7.71	0.93	0.88	209.70	244.90	130.60
574	GMA	γ Ursae Majorids	252.00	173.30	54.70	1.17	-0.37	54.40	8.42	0.92	0.89	211.20	251.70	98.70
575	SAU	63 Aurigids	235.00	107.00	40.40	1.22	-0.07	56.50	11.10	0.22	0.98	304.60	235.40	119.80
576	FOB	40 Comae Berenicids	282.00	200.40	23.50	0.65	-0.24	64.60	7.99	0.98	0.88	189.60	282.20	129.00
577	FPI	58 Piscids	134.00	12.60	13.40	1.16	0.38	64.20	10.57	0.49	0.95	273.90	133.80	163.40
578	TUM	thη Ursae Majorids	253.00	140.60	50.90	1.30	-0.24	54.80	15.29	0.53	0.97	266.10	253.20	101.30
579	TCV	Canum Venaticids-Bootids	282.00	210.10	29.40	0.69	-0.17	59.90	7.03	0.98	0.86	171.60	281.80	113.70
580	CHA	χ Andromedids	154.00	23.90	45.00	0.92	0.31	58.90	9.74	0.75	0.92	242.40	153.60	117.00
581	NHE	90 Herculids	38.00	264.30	40.30	0.50	0.19	39.00	12.85	0.91	0.93	216.30	37.60	62.90
582	JBC	January β Craterids	284.00	164.60	-22.80	0.80	-0.30	63.80	10.17	0.79	0.92	53.40	103.80	129.40
583	TTA	12 Taurids	164.00	55.50	1.80	0.80	0.39	65.20	15.37	0.71	0.95	67.20	344.10	146.00
584	GCE	Cepheids-Cassiopeiids	141.00	33.30	78.50	2.85	0.42	45.60	8.68	0.97	0.89	156.30	140.80	79.10
585	THY	33 Hydrids	262.00	143.80	-8.70	0.71	-0.18	64.90	33.80	0.68	0.98	68.40	81.90	136.50
586	TLA	2 Lacertids	133.00	332.20	44.80	0.63	0.53	44.00	9.97	0.77	0.92	240.40	132.80	74.10
587	FNC	59 Cygnids	137.00	314.20	47.50	0.23	0.57	35.30	12.35	0.85	0.93	227.80	137.00	54.40
588	TTL	22 Lyncids	220.00	114.30	50.80	1.02	-0.24	60.60	6.57	0.71	0.89	246.60	220.10	122.90
589	FCA	50 Cancrids	245.00	131.30	11.90	0.87	-0.27	66.60	15.09	0.53	0.97	86.90	65.40	167.40
590	VCT	10 Canum Venaticids	291.00	191.30	38.80	0.75	-0.26	54.90	7.87	0.72	0.91	243.60	291.10	101.00
591	ZBO	ζ Bootids	327.00	224.20	13.90	0.72	-0.23	62.50	11.72	0.78	0.93	234.90	327.20	124.40
592	PON	91 Piscids	136.00	19.60	28.40	0.75	0.37	64.80	7.23	0.79	0.89	238.20	136.30	144.70
593	TOL	28 Lyncids	223.00	118.50	41.60	0.99	-0.13	65.10	12.79	0.72	0.94	244.60	222.60	140.10
594	RSE	Serpentids-Coronae Borealids	298.00	234.90	25.10	0.71	-0.20	56.60	10.87	0.90	0.92	145.90	298.40	103.70
595	TTT	13 Taurids	175.00	55.10	16.10	0.92	0.16	64.50	16.69	0.43	0.97	98.80	354.90	172.20
596	MUS	78 Ursae Majorids	286.00	198.10	56.60	0.96	-0.43	45.20	9.72	0.86	0.91	221.50	285.80	75.60
599	POS	72 Ophiuchids	15.00	277.50	10.00	0.79	-0.04	62.30	9.53	0.98	0.90	195.40	15.20	122.90
600	FAU	43 Aurigids	209.00	96.00	44.20	0.97	0.08	63.00	9.32	0.62	0.93	257.90	209.20	136.30
601	ICT	ι Craterids	282.00	173.70	-14.60	0.88	-0.23	67.50	4.91	0.86	0.82	42.90	101.90	151.00
602	KCR	κ Craterids	292.00	173.40	-14.80	0.83	-0.20	65.80	8.77	0.64	0.93	74.10	112.20	146.90
603	FCR	15 Cancrids	233.00	122.40	30.80	0.96	-0.23	65.40	9.48	0.53	0.94	267.40	233.10	156.90
604	ACZ	ζ1 Cancrids	282.00	123.20	16.90	0.88	-0.16	33.80	2.04	0.21	0.90	132.10	101.70	4.20
605	FHR	52 Herculids	7.00	253.90	47.10	1.51	-0.31	39.20	43.55	0.96	0.98	203.10	7.20	62.80
606	JAU	January α Ursae Majorids	286.00	167.90	61.90	1.41	-0.31	38.80	6.86	0.70	0.90	246.90	286.10	59.20
607	TBO	12 Bootids	298.00	212.90	23.80	0.64	-0.37	61.70	6.50	0.96	0.85	197.60	297.60	120.00
608	FAR	14 Aurigids	194.00	76.80	30.10	0.90	-0.03	65.00	8.24	0.51	0.94	270.60	193.90	164.00
609	BOT	37 Comae Berenicids	290.00	196.80	30.40	0.69	-0.46	60.90	10.94	0.84	0.92	225.40	289.80	117.20
610	SGM	68 Geminids	263.00	112.50	13.60	0.84	-0.08	40.70	2.24	0.08	0.96	150.20	83.00	28.00
611	VCF	4 Canum Venaticids	270.00	188.30	43.90	1.07	-0.16	56.20	5.67	0.92	0.84	211.10	269.60	104.60
612	NCA	19 Canum Venaticids	254.00	200.10	43.30	0.69	-0.32	53.30	4.40	0.94	0.78	155.40	254.10	98.00
613	TLY	31 Lyncids	202.00	128.00	43.70	0.83	-0.38	64.00	3.40	0.96	0.72	155.70	202.00	137.10
614	JOS	January ω Serpentids	308.00	240.40	-0.30	0.74	-0.19	65.60	11.77	0.72	0.94	116.10	308.30	141.10
615	TOR	35 Comae Berenicids	292.00	192.30	22.90	0.64	-0.40	63.60	9.75	0.74	0.92	240.80	292.20	130.20
616	TOB	26 Comae Berenicids	300.00	192.30	23.40	0.61	-0.49	61.20	11.84	0.59	0.95	259.60	299.70	123.70
617	IUM	ι Ursae Majorids	226.00	129.60	48.70	0.92	-0.29	62.20	7.72	0.81	0.90	231.90	226.50	125.50
618	THD	12 Hydrids	243.00	131.80	-13.30	0.64	-0.15	64.10	96.67	0.87	0.99	40.20	63.20	126.30
619	SLM	7 Leonis Minorids	260.00	143.90	33.60	1.09	-0.46	60.40	10.37	0.36	0.97	286.70	259.50	132.10
620	SBO	σ Bootids	308.00	216.00	27.10	0.80	-0.52	58.60	7.50	0.89	0.88	216.80	308.30	110.60
621	SUA	73 Ursae Majorids	307.00	187.70	54.50	1.42	-0.32	38.90	8.52	0.72	0.92	244.60	306.90	58.90
622	PUA	φ Ursae Majorids	246.00	148.10	52.30	1.01	-0.47	57.20	9.41	0.74	0.92	240.90	245.90	108.10
623	XTC	ξ2 Capricornids	120.00	303.90	-10.80	0.98	0.22	24.50	2.40	0.51	0.79	277.40	119.70	7.60
624	XAR	ξ Arietids	205.00	39.10	10.50	0.97	0.31	28.50	1.86	0.31	0.83	120.90	24.40	5.70
625	LTA	λ Taurids	231.00	57.80	14.80	1.01	0.21	25.70	2.13	0.44	0.79	104.80	51.30	5.10
626	LCT	λ Cetids	216.00	48.10	13.10	0.99	0.26	27.90	1.94	0.34	0.82	116.50	35.10	5.50
627	MPI	μ Piscids	189.00	25.50	6.80	0.94	0.36	29.40	1.73	0.28	0.84	125.80	5.60	5.00
628	STS	s Taurids	223.00	53.80	14.40	1.00	0.23	28.20	2.13	0.36	0.83	114.10	42.10	5.50
629	ATS	A2 Taurids	233.00	60.70	23.20	1.07	0.19	27.50	2.19	0.39	0.82	290.50	233.40	2.70
630	TAR	τ Arietids	220.00	50.00	21.10	1.04	0.25	28.10	1.96	0.34	0.82	296.60	220.40	3.10
631	DAT	δ Arietids	216.00	48.10	20.40	1.03	0.26	29.30	1.94	0.30	0.85	301.80	215.20	3.20
632	NET	November η Taurids	227.00	56.10	22.30	1.05	0.22	28.00	2.11	0.36	0.83	294.30	227.10	2.80
633	PTS	p Taurids	240.00	66.70	24.10	1.08	0.15	26.70	2.21	0.41	0.81	287.20	238.60	2.50
634	TAT	τ Taurids	244.00	69.70	24.70	1.09	0.13	25.80	2.17	0.44	0.80	284.70	243.30	2.50
635	ATU	A1 Taurids	231.00	58.90	22.80	1.06	0.20	27.40	2.16	0.38	0.82	291.20	231.20	2.60
636	MTA	m Taurids	252.00	80.30	17.80	1.04	0.06	27.40	2.21	0.41	0.82	106.90	71.50	5.50
637	FTR	f Taurids	225.00	54.10	14.60	1.00	0.23	27.40	2.14	0.39	0.82	110.30	45.90	5.00
638	DZT	December ζ Taurids	260.00	86.40	18.30	1.05	0.02	25.80	2.25	0.46	0.80	102.20	80.00	4.80
640	AOA	August ο Aquariids	137.00	348.50	-14.40	0.94	0.39	38.20	2.22	0.11	0.95	146.10	317.00	24.90
641	DRG	December ρ Geminids	262.00	113.20	32.40	1.15	-0.16	39.50	2.12	0.11	0.95	325.70	261.80	30.90
642	PCE	φ Cetids	161.00	8.20	-5.30	0.91	0.39	36.50	2.25	0.15	0.93	140.80	341.10	19.40
643	OLS	ω Leonids	287.00	136.50	8.90	0.96	-0.29	44.90	2.45	0.05	0.99	153.60	107.60	37.40
644	JLL	January λ Leonids	288.00	140.20	23.40	1.03	-0.31	38.60	1.84	0.10	0.95	327.30	277.70	22.40
645	PHC	φ Cancrids	190.00	121.10	29.30	1.11	-0.21	67.80	4.63	0.76	0.88	120.30	195.00	163.30
647	BCO	β Comae Berenicids	9.00	196.20	24.90	0.87	-0.38	27.30	10.88	0.69	0.94	248.90	11.10	22.30
651	OAV	October α Virginids	16.00	202.00	-13.50	0.95	-0.37	28.90	2.36	0.39	0.84	109.80	197.40	4.70
652	OSP	ο Serpentids	18.00	274.10	-12.30	1.00	0.03	68.30	2.87	0.82	0.90	233.80	17.80	160.30
653	RLY	R Lyrids	32.00	280.40	47.60	0.49	0.07	40.10	11.32	1.00	0.92	186.00	31.70	67.00
655	APC	April φ Capricornids	32.00	313.50	-26.60	1.06	0.28	69.60	8.00	0.97	0.91	337.80	212.60	164.70
656	AAA	April α Antliids	31.00	159.10	-33.80	0.82	-0.37	14.10	2.60	0.94	0.64	32.60	211.50	13.80
657	GSG	γ Sagittariids	30.00	269.60	-29.00	1.14	0.00	62.10	3.82	0.37	0.91	109.30	210.60	166.20
658	EDR	ε Draconids	41.00	313.60	71.80	0.04	0.27	23.50	2.80	0.96	0.66	151.90	41.30	37.20
660	EPS	ε Scorpiids	49.00	251.50	-31.00	1.15	-0.12	39.20	2.64	0.13	0.95	143.40	229.60	24.30
664	MXA	May ξ Aurigids	46.00	88.40	58.70	1.57	0.01	11.70	2.41	0.96	0.60	150.10	47.40	10.40
667	JTP	June θ Piscids	70.00	355.80	7.90	0.91	0.40	66.60	6.93	0.72	0.93	112.60	70.20	162.90
668	JMP	June μ Pegasids	71.00	345.10	24.10	0.87	0.39	62.50	5.91	0.87	0.91	134.90	71.20	129.00
669	CHP	χ Pegasids	71.00	3.30	21.90	0.93	0.40	61.90	12.16	0.48	0.97	87.30	71.20	136.60
670	JEP	June η Pegasids	70.00	344.50	34.90	0.85	0.38	56.90	4.93	0.83	0.83	127.20	69.20	109.70
671	MCY	μ Cygnids	72.00	324.20	31.60	0.78	0.32	56.80	10.95	1.01	0.91	183.60	71.50	107.70
680	JEA	June ε Arietids	85.00	46.70	27.10	1.07	0.27	39.10	1.45	0.06	0.96	23.40	84.60	37.60
681	OAQ	ο Aquariids	93.00	330.70	-4.30	0.93	0.35	63.20	28.46	0.37	1.00	286.30	92.40	161.70
683	JTS	June θ Serpentids	91.00	284.20	1.50	0.91	0.10	36.90	16.96	0.39	0.98	283.50	89.30	35.90
684	NUP	ν Ophiuchids	89.00	267.40	-11.20	1.00	-0.02	21.30	2.18	0.62	0.72	266.10	88.50	8.30
688	BTR	β Triangulids	120.00	28.50	37.80	1.07	0.35	63.00	4.05	0.94	0.77	145.50	120.80	136.30
689	TAC	τ Capricornids	121.00	311.70	-15.70	1.00	0.27	28.20	2.59	0.39	0.85	289.50	120.90	2.40
691	ZCE	ζ Cetids	129.00	32.20	8.80	0.95	0.34	73.50	-2.44	0.99	1.26	17.30	309.60	173.70
692	EQA	ε Aquariids	138.00	310.50	-5.80	0.95	0.26	19.90	2.50	0.69	0.73	256.90	138.70	7.40
694	OMG	ο Geminids	164.00	116.10	38.30	1.20	-0.18	58.10	5.91	0.30	0.95	63.80	161.20	132.30
695	APA	August ψ Aurigids	146.00	95.60	42.10	1.27	-0.04	53.60	2.34	0.24	0.90	52.30	146.00	119.80
696	OAU	ο Aurigids	148.00	84.50	48.00	1.36	0.03	62.10	7.75	0.62	0.98	102.70	147.80	128.30
701	BCE	β Cepheids	153.00	325.40	75.80	0.01	0.33	39.80	19.29	1.01	0.95	188.30	153.20	65.80
703	IOD	ι Draconids	157.00	232.30	53.30	0.50	-0.24	17.80	2.93	0.99	0.66	161.50	157.20	26.10
705	UYL	UY Lyncids	169.00	111.70	56.10	1.46	-0.15	59.20	7.04	0.76	0.97	120.70	168.60	114.30
706	ZPI	ζ Piscids	172.00	19.80	9.70	0.94	0.37	38.20	1.74	0.06	0.96	335.50	172.40	5.20
707	BPX	β Pixidids	288.00	133.00	-36.30	0.70	-0.27	45.70	93.30	0.75	0.99	59.60	107.70	73.10
708	RLM	R Leonis Minorids	293.00	148.60	36.40	1.07	-0.34	40.90	5.00	0.25	0.95	302.30	293.40	47.30
709	LCM	λ Canis Majorids	286.00	98.40	-31.50	0.68	-0.06	25.40	4.85	0.83	0.83	48.50	105.80	33.20
710	IOL	ι Leonids	317.00	172.20	10.10	0.93	-0.39	40.40	1.59	0.05	0.97	337.60	317.00	25.80
712	FDC	February δ Cygnids	339.00	288.80	46.80	0.52	0.13	32.00	3.77	0.91	0.76	143.50	338.80	51.50
713	CCR	χ Cancrids	181.00	125.60	29.20	1.10	-0.24	63.80	9.69	0.42	0.97	78.60	180.90	156.90
714	RPI	ρ Piscids	177.00	22.80	16.90	0.97	0.37	43.90	1.89	0.05	0.99	336.70	176.50	33.00
715	ACL	α Camelopardalids	183.00	77.10	64.80	1.75	0.08	59.80	-8.70	0.96	1.06	201.30	189.60	109.80
716	OCH	October χ Andromedids	194.00	25.20	43.70	1.08	0.36	40.80	7.15	0.36	0.95	288.10	193.40	55.20
717	LAU	λ Aurigids	197.00	81.30	39.80	1.25	0.06	65.40	-1.69	0.61	1.00	256.80	197.30	145.40
718	XGM	ξ Geminids	206.00	96.90	12.70	1.01	-0.05	68.10	5.78	0.73	0.95	60.80	26.30	159.90
719	LGM	λ Geminids	232.00	106.80	17.50	1.04	-0.12	60.60	4.68	0.22	0.98	128.10	52.20	164.70
720	NGB	November γ Bootids	244.00	211.30	40.00	0.74	-0.34	48.10	7.50	0.77	0.90	120.40	243.80	82.80
724	LAP	λ Piscids	268.00	353.40	-1.80	0.92	0.40	8.10	2.69	0.98	0.63	178.10	268.30	0.20
725	DZC	December ζ Cygnids	270.00	320.50	29.00	0.78	0.31	9.10	2.20	0.98	0.55	168.10	269.70	9.50
726	DEG	December ε Geminids	268.00	96.70	25.60	1.11	-0.05	26.80	2.26	0.42	0.82	285.60	268.00	2.30
727	ISR	ι Serpentids	275.00	231.50	21.90	0.79	-0.25	53.50	9.25	0.64	0.98	105.60	274.70	95.10
729	DCO	δ Corvids	282.00	186.80	-16.40	0.93	-0.39	71.80	-6.27	0.98	1.02	356.90	102.10	159.00
731	JZB	January ζ Bootids	282.00	218.00	8.50	0.88	-0.31	64.80	5.70	0.71	0.95	115.20	281.30	134.50
732	FGV	February γ Virginids	338.00	191.10	-3.00	0.92	-0.39	41.20	1.50	0.04	0.98	342.40	337.40	8.70
733	LAL	λ Leonids	340.00	144.80	23.80	1.02	-0.33	15.60	2.64	0.83	0.68	233.10	340.20	4.00
734	MOC	March ο Cygnids	345.00	302.00	49.10	0.53	0.21	29.90	4.87	0.89	0.81	141.30	345.30	45.90
736	XIP	ξ Perseids	129.00	60.00	33.40	1.15	0.20	66.30	8.97	0.60	0.99	100.90	128.80	153.50
738	RER	ρ Eridanids	137.00	44.80	-4.00	0.90	0.28	67.30	8.94	0.99	0.94	18.70	316.70	145.70
739	LAR	λ Arietids	155.00	28.40	24.00	1.00	0.35	62.20	6.16	0.41	0.94	284.00	155.30	152.00
746	EVE	e Velids	252.00	129.50	-44.20	0.62	-0.26	44.40	2.67	0.98	0.64	13.20	71.80	78.80
749	NMV	Northern March γ Virginids	339.00	189.10	3.00	1.10	-0.35	42.70	2.40	0.07	0.98	332.50	338.90	23.70
750	SMV	Southern March γ Virginids	344.00	188.10	-8.80	0.93	-0.39	40.80	2.02	0.10	0.97	149.50	164.20	18.50
751	KCE	κ Cepheids	174.40	318.50	77.50	-1.45	0.39	33.70	2.93	0.98	0.66	198.40	174.40	57.70
752	AAC	April α Capricornids	17.65	304.50	-12.70	0.00	0.00	69.10	85.70	0.80	1.00	126.50	17.63	167.30
753	NED	November Draconids	232.80	194.20	68.60	1.42	-0.45	42.00	3.30	0.99	0.70	183.70	232.80	73.50
754	POD	ψ Draconids	11.80	262.30	73.30	2.37	0.25	19.80	2.63	0.99	0.62	179.30	11.80	30.90
755	MID	May ι Draconids	60.20	230.80	52.50	0.19	0.62	16.70	2.50	0.99	0.60	198.10	60.20	24.30
756	RPH	ρ Phoenicids	38.00	14.00	-49.20	0.89	0.50	43.00	2.70	0.74	0.73	291.60	218.00	77.00
757	CCY	χ Cygnids	171.64	301.00	32.60	0.68	0.20	15.10	2.75	0.95	0.65	209.90	171.64	18.60
757	CCY	χ Cygnids	171.33	300.40	31.20	0.00	0.00	14.35	2.64	0.95	0.64	210.04	171.33	17.34
757	CCY	χ Cygnids	170.51	300.50	31.10	0.80	0.20	14.65	2.72	0.95	0.65	210.66	170.51	17.64
758	VOL	Volantids	279.20	120.60	-72.00	-0.11	-0.21	28.40	2.23	0.98	0.56	347.70	99.26	47.80
759	THO	30 Ophiuchids	8.00	257.20	-4.10	0.90	1.57	57.00	1.36	0.52	0.62	284.50	8.00	138.10
