no	code	name	lambda	alpha	delta	da	dd	vel	a	q	e	peri	node	i
229	NAU	ν Aurigids	207.30	87.90	39.60	0.00	0.00	53.10	1.30	0.27	0.79	311.00	208.00	134.30
230	ICS	October ι Cassiopeiids	209.00	36.70	66.00	0.00	0.00	66.30	59.00	0.64	0.99	109.80	208.70	128.50
231	ACM	Daytime α Canis Majorids	204.00	92.10	-14.00	0.00	0.00	58.80	0.81	0.81	0.00	50.90	24.80	110.50
232	BCN	Daytime β Cancrids	213.00	121.70	4.90	0.00	0.00	66.10	2.80	0.93	0.67	325.00	24.70	152.00
233	OCC	October Capricornids	189.30	301.50	-8.70	0.00	0.00	15.00	3.65	0.99	0.73	193.20	189.30	2.80
233	OCC	October Capricornids	203.80	315.00	-14.00	0.00	0.00	15.30	4.26	0.99	0.77	190.80	203.80	0.80
234	EPC	October ε Piscids	195.00	3.40	8.10	0.00	0.00	21.70	2.47	0.60	0.76	265.70	188.20	4.50
235	LCY	λ Cygnids	199.00	338.60	31.30	0.00	0.00	21.20	2.58	0.83	0.68	234.40	189.60	17.80
236	GPS	γ Piscids	200.00	17.70	9.30	0.00	0.00	17.50	2.87	0.87	0.67	224.90	229.80	1.40
237	SSA	σ Arietids	202.00	44.70	14.20	0.00	0.00	40.50	4.46	0.11	0.98	145.00	22.70	7.00
239	GPU	October γ Puppids	202.70	110.10	-44.00	1.74	0.03	39.20	17.80	0.98	0.94	16.10	58.00	71.60
240	DFV	Daytime ψ Virginids	202.00	193.70	-9.60	0.00	0.00	21.10	1.51	0.53	0.65	258.10	22.30	2.60
241	OUI	October Ursae Minorids	208.00	246.60	74.30	1.40	-0.30	30.90	3.98	0.99	0.75	179.10	209.10	51.50
242	XDR	ξ Draconids	210.80	170.30	73.30	0.00	0.00	35.80	1.28	0.99	0.23	175.30	210.80	69.00
243	ZCN	ζ Cancrids	225.00	120.50	14.30	0.00	0.00	63.40	2.98	0.44	0.85	100.70	55.40	166.10
244	PAR	ψ1 Aurigids	227.00	94.00	50.00	0.00	0.00	56.70	6.63	0.44	0.97	277.80	219.30	113.00
245	NHD	November Hydrids	234.80	130.30	-6.30	0.92	0.00	65.50	6.00	0.91	0.85	34.40	54.80	137.60
246	AMO	α Monocerotids	239.30	117.10	0.80	0.00	0.00	63.00	500.00	0.49	1.00	90.66	59.32	134.13
246	AMO	α Monocerotids	239.00	116.80	0.90	0.97	-0.09	63.00	500.00	0.49	1.00	90.70	59.30	134.10
248	IAR	November ι Aurigids	233.60	76.30	33.30	0.00	0.00	34.00	1.08	0.09	0.92	336.30	222.30	30.50
249	NAR	November ν Arietids	241.00	39.00	23.20	0.00	0.00	12.30	1.54	0.79	0.49	246.40	236.18	2.80
250	NOO	November Orionids	245.00	90.60	15.70	0.00	0.00	43.70	0.11	0.11	0.00	140.50	67.00	24.80
250	NOO	November Orionids	245.00	85.20	15.60	0.71	-0.03	43.30	12.70	0.09	0.99	145.80	60.00	26.90
250	NOO	November Orionids	245.50	90.20	15.50	0.74	-0.06	43.50	11.80	0.10	0.99	144.10	65.10	26.60
250	NOO	November Orionids	246.00	90.50	15.30	0.76	-0.04	43.10	12.01	0.11	0.99	142.37	66.00	67.10
250	NOO	November Orionids	247.00	90.60	15.20	1.03	-0.01	42.50	8.36	0.12	0.99	140.40	67.60	24.40
251	IVI	Daytime ι Virginids	223.00	210.40	-3.80	0.00	0.00	29.00	1.22	0.98	0.19	60.70	224.30	10.10
252	ALY	α Lyncids	268.90	138.80	43.80	0.00	0.00	50.40	25.40	0.28	0.99	295.90	268.80	84.40
252	ALY	α Lyncids	272.00	140.40	39.80	1.13	-0.31	49.50	6.78	0.21	0.97	306.40	272.20	84.00
253	CMI	December Canis Minorids	252.00	102.40	14.50	1.02	-0.09	40.20	1.88	0.07	0.96	152.50	72.20	29.20
256	ORN	Northern χ Orionids	257.30	83.90	25.50	0.54	0.00	24.90	2.22	0.45	0.80	283.90	257.30	2.50
256	ORN	Northern χ Orionids	266.00	97.30	25.90	0.00	0.00	28.20	2.25	0.38	0.83	291.10	266.00	3.00
256	ORN	Northern χ Orionids	258.00	83.20	25.70	1.11	0.04	24.70	2.09	0.47	0.78	280.80	255.90	2.20
257	ORS	Southern χ Orionids	260.00	78.70	15.70	0.88	-0.03	21.50	2.23	0.59	0.73	86.40	80.10	5.20
257	ORS	Southern χ Orionids	260.00	80.70	16.80	1.30	0.00	21.50	1.85	0.56	0.70	93.70	79.30	4.60
257	ORS	Southern χ Orionids	257.90	80.90	17.60	0.00	0.00	24.60	2.41	0.51	0.79	95.60	77.90	4.50
257	ORS	Southern χ Orionids	243.00	73.00	17.80	1.04	0.11	27.90	2.16	0.38	0.83	111.30	64.30	5.30
258	DAR	December α Aurigids	262.20	84.90	35.50	0.00	0.00	19.50	2.28	0.67	0.71	257.70	270.00	7.20
